"gene","mean_cnv","chr","start","stop","alteration","mean_solid","mean_ascites","solid_status","ascites_status","shared","site_specific"
"SAMD11",1.0198964876937,"chr1",923923,944575,"Neutral",1.01239751648468,1.04355146682061,"Neutral","Neutral",FALSE,FALSE
"HES4",1.01833887955804,"chr1",998962,1000172,"Neutral",1.01086454003423,1.04191615976026,"Neutral","Neutral",FALSE,FALSE
"ISG15",1.0169319535822,"chr1",1001138,1014540,"Neutral",1.00952582081828,1.04029408034048,"Neutral","Neutral",FALSE,FALSE
"AGRN",1.0157299996309,"chr1",1020120,1056118,"Neutral",1.00845767893884,1.03867002558646,"Neutral","Neutral",FALSE,FALSE
"TNFRSF18",1.01429624032273,"chr1",1203508,1206592,"Neutral",1.00713880164995,1.03687387899979,"Neutral","Neutral",FALSE,FALSE
"TNFRSF4",1.01317992372881,"chr1",1211326,1214153,"Neutral",1.00609069690245,1.03554239291681,"Neutral","Neutral",FALSE,FALSE
"MXRA8",1.01232694858109,"chr1",1352689,1361777,"Neutral",1.00529417548077,1.03451133844677,"Neutral","Neutral",FALSE,FALSE
"ANKRD65",1.01143271542291,"chr1",1418420,1421769,"Neutral",1.00448970525077,1.03333395442251,"Neutral","Neutral",FALSE,FALSE
"VWA1",1.01047137125769,"chr1",1434861,1442882,"Neutral",1.00353979488794,1.03233654312899,"Neutral","Neutral",FALSE,FALSE
"MMP23B",1.00925721792889,"chr1",1632163,1635263,"Neutral",1.00239506914293,1.03090338535283,"Neutral","Neutral",FALSE,FALSE
"MMEL1",1.0080487603965,"chr1",2590639,2633016,"Neutral",1.00132742049138,1.02925075607417,"Neutral","Neutral",FALSE,FALSE
"SMIM1",1.00684178004971,"chr1",3772749,3775982,"Neutral",1.00024256736829,1.02765853395931,"Neutral","Neutral",FALSE,FALSE
"KCNAB2",1.00517625930376,"chr1",5990927,6101193,"Neutral",0.998686609265727,1.02564740553327,"Neutral","Neutral",FALSE,FALSE
"RPL22",1.0036855275459,"chr1",6185020,6209389,"Neutral",0.997291726102531,1.0238543261009,"Neutral","Neutral",FALSE,FALSE
"RNF207",1.00185580882393,"chr1",6205475,6221299,"Neutral",0.99554461860756,1.02176401605306,"Neutral","Neutral",FALSE,FALSE
"ACOT7",1.00024506686915,"chr1",6264269,6393767,"Neutral",0.993975546692256,1.0200218288791,"Neutral","Neutral",FALSE,FALSE
"ESPN",0.998656137922235,"chr1",6424776,6461367,"Neutral",0.992418896188761,1.01833107984459,"Neutral","Neutral",FALSE,FALSE
"TNFRSF25",0.996983127358133,"chr1",6460786,6466175,"Neutral",0.9907482669661,1.01665055750581,"Neutral","Neutral",FALSE,FALSE
