"patient_id","tumor_site","n_cells","chromosome","chr_num","mean_cnv"
"SPECTRUM-OV-014","Solid",1500,"chr1",1,0.996689104917479
"SPECTRUM-OV-014","Solid",1500,"chr2",2,1.03500947259765
"SPECTRUM-OV-014","Solid",1500,"chr3",3,1.0869404049354
"SPECTRUM-OV-014","Solid",1500,"chr4",4,1.01163021213409
"SPECTRUM-OV-014","Solid",1500,"chr5",5,0.958477401072368
"SPECTRUM-OV-014","Solid",1500,"chr6",6,0.90698306723015
"SPECTRUM-OV-014","Solid",1500,"chr7",7,1.01009939365983
"SPECTRUM-OV-014","Solid",1500,"chr8",8,1.02089958526613
"SPECTRUM-OV-014","Solid",1500,"chr9",9,1.03758614681283
"SPECTRUM-OV-014","Solid",1500,"chr10",10,0.986807249101146
"SPECTRUM-OV-014","Solid",1500,"chr11",11,1.00558505561617
"SPECTRUM-OV-014","Solid",1500,"chr12",12,1.07564584343367
"SPECTRUM-OV-014","Solid",1500,"chr13",13,0.951846565408498
"SPECTRUM-OV-014","Solid",1500,"chr14",14,0.979178013329624
"SPECTRUM-OV-014","Solid",1500,"chr15",15,0.94282202153633
"SPECTRUM-OV-014","Solid",1500,"chr16",16,0.926897223099855
"SPECTRUM-OV-014","Solid",1500,"chr17",17,0.972829744217051
"SPECTRUM-OV-014","Solid",1500,"chr18",18,1.01942373089323
"SPECTRUM-OV-014","Solid",1500,"chr19",19,1.00592745883648
"SPECTRUM-OV-014","Solid",1500,"chr20",20,1.07465961685349
"SPECTRUM-OV-014","Solid",1500,"chr21",21,1.03102607062514
"SPECTRUM-OV-014","Solid",1500,"chr22",22,0.945736053804436
"SPECTRUM-OV-014","Ascites",57,"chr1",1,1.00719792736081
"SPECTRUM-OV-014","Ascites",57,"chr2",2,1.03072196076811
"SPECTRUM-OV-014","Ascites",57,"chr3",3,1.04334786155892
"SPECTRUM-OV-014","Ascites",57,"chr4",4,0.999946924893562
"SPECTRUM-OV-014","Ascites",57,"chr5",5,0.923858070931487
"SPECTRUM-OV-014","Ascites",57,"chr6",6,0.913583511919514
"SPECTRUM-OV-014","Ascites",57,"chr7",7,1.00250700170386
"SPECTRUM-OV-014","Ascites",57,"chr8",8,1.00978949851793
"SPECTRUM-OV-014","Ascites",57,"chr9",9,1.04974257309708
"SPECTRUM-OV-014","Ascites",57,"chr10",10,0.983947580088251
"SPECTRUM-OV-014","Ascites",57,"chr11",11,0.994537004950365
"SPECTRUM-OV-014","Ascites",57,"chr12",12,1.06799354637941
"SPECTRUM-OV-014","Ascites",57,"chr13",13,0.976317461203942
"SPECTRUM-OV-014","Ascites",57,"chr14",14,0.945519028567576
"SPECTRUM-OV-014","Ascites",57,"chr15",15,0.969353105907226
"SPECTRUM-OV-014","Ascites",57,"chr16",16,0.949069542063486
"SPECTRUM-OV-014","Ascites",57,"chr17",17,0.987584787562101
"SPECTRUM-OV-014","Ascites",57,"chr18",18,1.02312605241124
"SPECTRUM-OV-014","Ascites",57,"chr19",19,1.0010836708792
"SPECTRUM-OV-014","Ascites",57,"chr20",20,1.10391299942146
"SPECTRUM-OV-014","Ascites",57,"chr21",21,1.0865514269037
"SPECTRUM-OV-014","Ascites",57,"chr22",22,0.939314698239543
"SPECTRUM-OV-024","Solid",1500,"chr1",1,1.03036818363532
"SPECTRUM-OV-024","Solid",1500,"chr2",2,1.00372431441375
"SPECTRUM-OV-024","Solid",1500,"chr3",3,1.04049213225842
"SPECTRUM-OV-024","Solid",1500,"chr4",4,0.970086929931437
"SPECTRUM-OV-024","Solid",1500,"chr5",5,0.992548793059506
"SPECTRUM-OV-024","Solid",1500,"chr6",6,0.951642767661586
"SPECTRUM-OV-024","Solid",1500,"chr7",7,1.01359450118446
"SPECTRUM-OV-024","Solid",1500,"chr8",8,1.00291767360258
"SPECTRUM-OV-024","Solid",1500,"chr9",9,1.00846975025868
"SPECTRUM-OV-024","Solid",1500,"chr10",10,0.981852640680932
"SPECTRUM-OV-024","Solid",1500,"chr11",11,1.00304964211783
"SPECTRUM-OV-024","Solid",1500,"chr12",12,1.0775774827741
"SPECTRUM-OV-024","Solid",1500,"chr13",13,0.94837877643645
"SPECTRUM-OV-024","Solid",1500,"chr14",14,0.91553194150927
"SPECTRUM-OV-024","Solid",1500,"chr15",15,1.00909048994828
"SPECTRUM-OV-024","Solid",1500,"chr16",16,0.993928246190282
"SPECTRUM-OV-024","Solid",1500,"chr17",17,0.998127786853217
"SPECTRUM-OV-024","Solid",1500,"chr18",18,1.00390438397927
"SPECTRUM-OV-024","Solid",1500,"chr19",19,1.03504351444568
"SPECTRUM-OV-024","Solid",1500,"chr20",20,1.17053043046003
"SPECTRUM-OV-024","Solid",1500,"chr21",21,0.984761532925241
"SPECTRUM-OV-024","Solid",1500,"chr22",22,0.925434145754075
"SPECTRUM-OV-024","Ascites",190,"chr1",1,1.02083837773238
"SPECTRUM-OV-024","Ascites",190,"chr2",2,1.00321077190415
"SPECTRUM-OV-024","Ascites",190,"chr3",3,1.03329768325191
"SPECTRUM-OV-024","Ascites",190,"chr4",4,0.984190145112323
"SPECTRUM-OV-024","Ascites",190,"chr5",5,0.991160437802294
"SPECTRUM-OV-024","Ascites",190,"chr6",6,0.924685998901811
"SPECTRUM-OV-024","Ascites",190,"chr7",7,1.01315436387309
"SPECTRUM-OV-024","Ascites",190,"chr8",8,1.00261485893139
"SPECTRUM-OV-024","Ascites",190,"chr9",9,1.01349609993544
"SPECTRUM-OV-024","Ascites",190,"chr10",10,0.975914181977695
"SPECTRUM-OV-024","Ascites",190,"chr11",11,1.0013036521643
"SPECTRUM-OV-024","Ascites",190,"chr12",12,1.06687059895962
"SPECTRUM-OV-024","Ascites",190,"chr13",13,0.962885293739961
"SPECTRUM-OV-024","Ascites",190,"chr14",14,0.925825056735725
"SPECTRUM-OV-024","Ascites",190,"chr15",15,1.00942137191311
"SPECTRUM-OV-024","Ascites",190,"chr16",16,1.01814105084401
"SPECTRUM-OV-024","Ascites",190,"chr17",17,0.999652401923114
"SPECTRUM-OV-024","Ascites",190,"chr18",18,1.00758487707191
"SPECTRUM-OV-024","Ascites",190,"chr19",19,1.02535484016838
"SPECTRUM-OV-024","Ascites",190,"chr20",20,1.18918347031314
"SPECTRUM-OV-024","Ascites",190,"chr21",21,0.975446816531336
"SPECTRUM-OV-024","Ascites",190,"chr22",22,0.927064529013309
"SPECTRUM-OV-026","Solid",1500,"chr1",1,1.04647328942838
"SPECTRUM-OV-026","Solid",1500,"chr2",2,1.01515206992511
"SPECTRUM-OV-026","Solid",1500,"chr3",3,1.08570309883451
"SPECTRUM-OV-026","Solid",1500,"chr4",4,0.96292786773383
"SPECTRUM-OV-026","Solid",1500,"chr5",5,0.968142117673167
"SPECTRUM-OV-026","Solid",1500,"chr6",6,0.922215581318292
"SPECTRUM-OV-026","Solid",1500,"chr7",7,0.991961321921571
"SPECTRUM-OV-026","Solid",1500,"chr8",8,1.02643801992283
"SPECTRUM-OV-026","Solid",1500,"chr9",9,1.02520918302117
"SPECTRUM-OV-026","Solid",1500,"chr10",10,0.946857119247266
"SPECTRUM-OV-026","Solid",1500,"chr11",11,1.02875773937703
"SPECTRUM-OV-026","Solid",1500,"chr12",12,0.972644055755367
"SPECTRUM-OV-026","Solid",1500,"chr13",13,0.98453226818963
"SPECTRUM-OV-026","Solid",1500,"chr14",14,1.01948705307419
"SPECTRUM-OV-026","Solid",1500,"chr15",15,0.958452815858471
"SPECTRUM-OV-026","Solid",1500,"chr16",16,0.96468434044522
"SPECTRUM-OV-026","Solid",1500,"chr17",17,0.998568857408469
"SPECTRUM-OV-026","Solid",1500,"chr18",18,1.02406125187295
"SPECTRUM-OV-026","Solid",1500,"chr19",19,0.99755792816543
"SPECTRUM-OV-026","Solid",1500,"chr20",20,1.07865378971401
"SPECTRUM-OV-026","Solid",1500,"chr21",21,1.02887542343133
"SPECTRUM-OV-026","Solid",1500,"chr22",22,0.850980154514216
"SPECTRUM-OV-026","Ascites",52,"chr1",1,1.04119481689826
"SPECTRUM-OV-026","Ascites",52,"chr2",2,1.01734535557104
"SPECTRUM-OV-026","Ascites",52,"chr3",3,1.06818302742463
"SPECTRUM-OV-026","Ascites",52,"chr4",4,0.978267855984565
"SPECTRUM-OV-026","Ascites",52,"chr5",5,0.969772808569107
"SPECTRUM-OV-026","Ascites",52,"chr6",6,0.937555938922295
"SPECTRUM-OV-026","Ascites",52,"chr7",7,0.998782302513935
"SPECTRUM-OV-026","Ascites",52,"chr8",8,1.03070681500365
"SPECTRUM-OV-026","Ascites",52,"chr9",9,1.03503249826646
"SPECTRUM-OV-026","Ascites",52,"chr10",10,0.946500371276774
"SPECTRUM-OV-026","Ascites",52,"chr11",11,1.02411074815357
"SPECTRUM-OV-026","Ascites",52,"chr12",12,0.972093807262699
"SPECTRUM-OV-026","Ascites",52,"chr13",13,0.9644211839127
"SPECTRUM-OV-026","Ascites",52,"chr14",14,1.0229337433429
"SPECTRUM-OV-026","Ascites",52,"chr15",15,0.981861487309787
"SPECTRUM-OV-026","Ascites",52,"chr16",16,0.97694196557192
"SPECTRUM-OV-026","Ascites",52,"chr17",17,1.00659415514636
"SPECTRUM-OV-026","Ascites",52,"chr18",18,1.04241996049889
"SPECTRUM-OV-026","Ascites",52,"chr19",19,0.987706842815601
"SPECTRUM-OV-026","Ascites",52,"chr20",20,1.09938420130159
"SPECTRUM-OV-026","Ascites",52,"chr21",21,1.05786317136787
"SPECTRUM-OV-026","Ascites",52,"chr22",22,0.876696940316882
"SPECTRUM-OV-041","Solid",1500,"chr1",1,1.01392736923718
"SPECTRUM-OV-041","Solid",1500,"chr2",2,1.02607270948905
"SPECTRUM-OV-041","Solid",1500,"chr3",3,1.09181351266926
"SPECTRUM-OV-041","Solid",1500,"chr4",4,0.96702952970869
"SPECTRUM-OV-041","Solid",1500,"chr5",5,0.966098087920267
"SPECTRUM-OV-041","Solid",1500,"chr6",6,0.963437610313932
"SPECTRUM-OV-041","Solid",1500,"chr7",7,1.01250874715767
"SPECTRUM-OV-041","Solid",1500,"chr8",8,1.01560556034766
"SPECTRUM-OV-041","Solid",1500,"chr9",9,1.02169962964606
"SPECTRUM-OV-041","Solid",1500,"chr10",10,0.97357105626369
"SPECTRUM-OV-041","Solid",1500,"chr11",11,0.997571909808091
"SPECTRUM-OV-041","Solid",1500,"chr12",12,1.08263253361634
"SPECTRUM-OV-041","Solid",1500,"chr13",13,1.02607731682537
"SPECTRUM-OV-041","Solid",1500,"chr14",14,0.997112690313292
"SPECTRUM-OV-041","Solid",1500,"chr15",15,1.0161357134772
"SPECTRUM-OV-041","Solid",1500,"chr16",16,0.977696342558603
"SPECTRUM-OV-041","Solid",1500,"chr17",17,0.964405330925131
"SPECTRUM-OV-041","Solid",1500,"chr18",18,1.03092391383611
"SPECTRUM-OV-041","Solid",1500,"chr19",19,1.06039242401117
"SPECTRUM-OV-041","Solid",1500,"chr20",20,1.08954157492251
"SPECTRUM-OV-041","Solid",1500,"chr21",21,1.0252040063255
"SPECTRUM-OV-041","Solid",1500,"chr22",22,0.861109997615715
"SPECTRUM-OV-041","Ascites",1500,"chr1",1,1.0225864289648
"SPECTRUM-OV-041","Ascites",1500,"chr2",2,1.00835259917159
"SPECTRUM-OV-041","Ascites",1500,"chr3",3,1.06582750052748
"SPECTRUM-OV-041","Ascites",1500,"chr4",4,0.968353914626023
"SPECTRUM-OV-041","Ascites",1500,"chr5",5,0.979483490002967
"SPECTRUM-OV-041","Ascites",1500,"chr6",6,0.944630165223926
"SPECTRUM-OV-041","Ascites",1500,"chr7",7,1.01273852699723
"SPECTRUM-OV-041","Ascites",1500,"chr8",8,1.02088694701842
"SPECTRUM-OV-041","Ascites",1500,"chr9",9,1.05220994046065
"SPECTRUM-OV-041","Ascites",1500,"chr10",10,0.953527634541496
"SPECTRUM-OV-041","Ascites",1500,"chr11",11,1.00312879301988
"SPECTRUM-OV-041","Ascites",1500,"chr12",12,1.03812344246376
"SPECTRUM-OV-041","Ascites",1500,"chr13",13,1.01308351329
"SPECTRUM-OV-041","Ascites",1500,"chr14",14,0.989212286746023
"SPECTRUM-OV-041","Ascites",1500,"chr15",15,0.987291264907885
"SPECTRUM-OV-041","Ascites",1500,"chr16",16,1.00092904937737
"SPECTRUM-OV-041","Ascites",1500,"chr17",17,0.979803952571829
"SPECTRUM-OV-041","Ascites",1500,"chr18",18,1.01498544687466
"SPECTRUM-OV-041","Ascites",1500,"chr19",19,1.02347399720236
"SPECTRUM-OV-041","Ascites",1500,"chr20",20,1.16055986891326
"SPECTRUM-OV-041","Ascites",1500,"chr21",21,0.989937543366035
"SPECTRUM-OV-041","Ascites",1500,"chr22",22,0.857982745641851
"SPECTRUM-OV-042","Solid",1500,"chr1",1,0.990965115390106
"SPECTRUM-OV-042","Solid",1500,"chr2",2,1.00361892092362
"SPECTRUM-OV-042","Solid",1500,"chr3",3,1.09851204305698
"SPECTRUM-OV-042","Solid",1500,"chr4",4,0.981083778281517
"SPECTRUM-OV-042","Solid",1500,"chr5",5,0.966139259163891
"SPECTRUM-OV-042","Solid",1500,"chr6",6,0.944447365402152
"SPECTRUM-OV-042","Solid",1500,"chr7",7,1.00273028755589
"SPECTRUM-OV-042","Solid",1500,"chr8",8,1.08703049644589
"SPECTRUM-OV-042","Solid",1500,"chr9",9,1.00621327366959
"SPECTRUM-OV-042","Solid",1500,"chr10",10,0.973339700410696
"SPECTRUM-OV-042","Solid",1500,"chr11",11,1.04702136508854
"SPECTRUM-OV-042","Solid",1500,"chr12",12,1.02460799948558
"SPECTRUM-OV-042","Solid",1500,"chr13",13,0.964699431157156
"SPECTRUM-OV-042","Solid",1500,"chr14",14,1.0250803396612
"SPECTRUM-OV-042","Solid",1500,"chr15",15,0.980282590613676
"SPECTRUM-OV-042","Solid",1500,"chr16",16,1.04749070089409
"SPECTRUM-OV-042","Solid",1500,"chr17",17,0.979935988705722
"SPECTRUM-OV-042","Solid",1500,"chr18",18,0.988105493747888
"SPECTRUM-OV-042","Solid",1500,"chr19",19,1.05865473593623
"SPECTRUM-OV-042","Solid",1500,"chr20",20,1.13784651555589
"SPECTRUM-OV-042","Solid",1500,"chr21",21,1.02136460533247
"SPECTRUM-OV-042","Solid",1500,"chr22",22,0.947077542022394
"SPECTRUM-OV-042","Ascites",1500,"chr1",1,1.0046706621174
"SPECTRUM-OV-042","Ascites",1500,"chr2",2,1.0020783985917
"SPECTRUM-OV-042","Ascites",1500,"chr3",3,1.07691466914752
"SPECTRUM-OV-042","Ascites",1500,"chr4",4,0.968752917706971
"SPECTRUM-OV-042","Ascites",1500,"chr5",5,0.937338676584734
"SPECTRUM-OV-042","Ascites",1500,"chr6",6,0.953106289081727
"SPECTRUM-OV-042","Ascites",1500,"chr7",7,1.02981373749753
"SPECTRUM-OV-042","Ascites",1500,"chr8",8,1.05963568229095
"SPECTRUM-OV-042","Ascites",1500,"chr9",9,1.00800750232707
"SPECTRUM-OV-042","Ascites",1500,"chr10",10,0.980265591539602
"SPECTRUM-OV-042","Ascites",1500,"chr11",11,1.04476388269049
"SPECTRUM-OV-042","Ascites",1500,"chr12",12,1.03674522331438
"SPECTRUM-OV-042","Ascites",1500,"chr13",13,0.944123176637843
"SPECTRUM-OV-042","Ascites",1500,"chr14",14,0.999816090739451
"SPECTRUM-OV-042","Ascites",1500,"chr15",15,0.994230807138334
"SPECTRUM-OV-042","Ascites",1500,"chr16",16,1.04138178650717
"SPECTRUM-OV-042","Ascites",1500,"chr17",17,0.975776018413942
"SPECTRUM-OV-042","Ascites",1500,"chr18",18,0.991361438394984
"SPECTRUM-OV-042","Ascites",1500,"chr19",19,1.04653590800854
"SPECTRUM-OV-042","Ascites",1500,"chr20",20,1.20463655730281
"SPECTRUM-OV-042","Ascites",1500,"chr21",21,1.02250812374757
"SPECTRUM-OV-042","Ascites",1500,"chr22",22,0.92813997493803
"SPECTRUM-OV-050","Solid",1500,"chr1",1,1.02348014722366
"SPECTRUM-OV-050","Solid",1500,"chr2",2,1.00427003778457
"SPECTRUM-OV-050","Solid",1500,"chr3",3,1.0956599493205
"SPECTRUM-OV-050","Solid",1500,"chr4",4,0.990593148491247
"SPECTRUM-OV-050","Solid",1500,"chr5",5,0.966399684106751
"SPECTRUM-OV-050","Solid",1500,"chr6",6,0.965467905451906
"SPECTRUM-OV-050","Solid",1500,"chr7",7,0.987296267983411
"SPECTRUM-OV-050","Solid",1500,"chr8",8,1.0835219069087
"SPECTRUM-OV-050","Solid",1500,"chr9",9,1.0381573230025
"SPECTRUM-OV-050","Solid",1500,"chr10",10,0.973204175670106
"SPECTRUM-OV-050","Solid",1500,"chr11",11,1.01184181255624
"SPECTRUM-OV-050","Solid",1500,"chr12",12,1.00969880910989
"SPECTRUM-OV-050","Solid",1500,"chr13",13,0.979654163929912
"SPECTRUM-OV-050","Solid",1500,"chr14",14,1.03175768997759
"SPECTRUM-OV-050","Solid",1500,"chr15",15,0.981250992056706
"SPECTRUM-OV-050","Solid",1500,"chr16",16,1.01022215590372
"SPECTRUM-OV-050","Solid",1500,"chr17",17,0.977067241131291
"SPECTRUM-OV-050","Solid",1500,"chr18",18,1.00891095579211
"SPECTRUM-OV-050","Solid",1500,"chr19",19,1.00362173321484
"SPECTRUM-OV-050","Solid",1500,"chr20",20,1.06671637384921
"SPECTRUM-OV-050","Solid",1500,"chr21",21,1.08104643073222
"SPECTRUM-OV-050","Solid",1500,"chr22",22,0.988338090530359
"SPECTRUM-OV-050","Ascites",3,"chr1",1,0.990936684190357
"SPECTRUM-OV-050","Ascites",3,"chr2",2,1.00966301331867
"SPECTRUM-OV-050","Ascites",3,"chr3",3,1.08196186406693
"SPECTRUM-OV-050","Ascites",3,"chr4",4,1.00194668673113
"SPECTRUM-OV-050","Ascites",3,"chr5",5,1.00194668673113
"SPECTRUM-OV-050","Ascites",3,"chr6",6,0.930983598497931
"SPECTRUM-OV-050","Ascites",3,"chr7",7,1.00194668673113
"SPECTRUM-OV-050","Ascites",3,"chr8",8,1.05160816086407
"SPECTRUM-OV-050","Ascites",3,"chr9",9,1.05854925279566
"SPECTRUM-OV-050","Ascites",3,"chr10",10,0.953886494315961
"SPECTRUM-OV-050","Ascites",3,"chr11",11,1.02018221485437
"SPECTRUM-OV-050","Ascites",3,"chr12",12,1.02217242386996
"SPECTRUM-OV-050","Ascites",3,"chr13",13,1.02121847001246
"SPECTRUM-OV-050","Ascites",3,"chr14",14,0.968133638748618
"SPECTRUM-OV-050","Ascites",3,"chr15",15,1.00194668673113
"SPECTRUM-OV-050","Ascites",3,"chr16",16,1.00298133054115
"SPECTRUM-OV-050","Ascites",3,"chr17",17,0.993687675661894
"SPECTRUM-OV-050","Ascites",3,"chr18",18,1.00194668673113
"SPECTRUM-OV-050","Ascites",3,"chr19",19,1.00770443506955
"SPECTRUM-OV-050","Ascites",3,"chr20",20,1.07544020488926
"SPECTRUM-OV-050","Ascites",3,"chr21",21,0.991191126464051
"SPECTRUM-OV-050","Ascites",3,"chr22",22,0.985369460049623
"SPECTRUM-OV-051","Solid",1500,"chr1",1,0.995057564218554
"SPECTRUM-OV-051","Solid",1500,"chr2",2,1.0297920710503
"SPECTRUM-OV-051","Solid",1500,"chr3",3,1.05795296235093
"SPECTRUM-OV-051","Solid",1500,"chr4",4,0.996155541203866
"SPECTRUM-OV-051","Solid",1500,"chr5",5,0.982382529828857
"SPECTRUM-OV-051","Solid",1500,"chr6",6,0.945259133993135
"SPECTRUM-OV-051","Solid",1500,"chr7",7,1.0245597637929
"SPECTRUM-OV-051","Solid",1500,"chr8",8,1.00976827218117
"SPECTRUM-OV-051","Solid",1500,"chr9",9,0.997933278304626
"SPECTRUM-OV-051","Solid",1500,"chr10",10,0.96502207159257
"SPECTRUM-OV-051","Solid",1500,"chr11",11,0.997586076597391
"SPECTRUM-OV-051","Solid",1500,"chr12",12,1.08872102869274
"SPECTRUM-OV-051","Solid",1500,"chr13",13,0.975179361553544
"SPECTRUM-OV-051","Solid",1500,"chr14",14,0.979344183859183
"SPECTRUM-OV-051","Solid",1500,"chr15",15,0.979648275084008
"SPECTRUM-OV-051","Solid",1500,"chr16",16,0.99099442412951
"SPECTRUM-OV-051","Solid",1500,"chr17",17,1.00404662675646
"SPECTRUM-OV-051","Solid",1500,"chr18",18,1.01643944594652
"SPECTRUM-OV-051","Solid",1500,"chr19",19,1.05926155579575
"SPECTRUM-OV-051","Solid",1500,"chr20",20,1.13788834824497
"SPECTRUM-OV-051","Solid",1500,"chr21",21,0.986326826634894
"SPECTRUM-OV-051","Solid",1500,"chr22",22,0.879748347671202
"SPECTRUM-OV-051","Ascites",1,"chr1",1,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr2",2,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr3",3,1.01094759154038
"SPECTRUM-OV-051","Ascites",1,"chr4",4,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr5",5,1.01729892353597
"SPECTRUM-OV-051","Ascites",1,"chr6",6,1.08463989707351
"SPECTRUM-OV-051","Ascites",1,"chr7",7,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr8",8,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr9",9,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr10",10,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr11",11,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr12",12,0.985189466856193
"SPECTRUM-OV-051","Ascites",1,"chr13",13,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr14",14,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr15",15,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr16",16,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr17",17,1.00558946693007
"SPECTRUM-OV-051","Ascites",1,"chr18",18,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr19",19,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr20",20,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr21",21,1.00194668673113
"SPECTRUM-OV-051","Ascites",1,"chr22",22,1.00194668673113
"SPECTRUM-OV-054","Solid",56,"chr1",1,1.01450950334121
"SPECTRUM-OV-054","Solid",56,"chr2",2,1.01061256820823
"SPECTRUM-OV-054","Solid",56,"chr3",3,1.084409539519
"SPECTRUM-OV-054","Solid",56,"chr4",4,0.964004852954855
"SPECTRUM-OV-054","Solid",56,"chr5",5,0.985375073689092
"SPECTRUM-OV-054","Solid",56,"chr6",6,0.947038345652315
"SPECTRUM-OV-054","Solid",56,"chr7",7,0.994054275485283
