"chr","chr_num","n_genes","n_gains","n_losses","pct_gains","pct_losses","mean_cnv","n_shared_gains","n_shared_losses","n_site_specific"
"chr1",1,274,32,0,11.7,0,1.0141,29,0,20
"chr2",2,159,8,0,5,0,1.0134,2,0,7
"chr3",3,138,56,0,40.6,0,1.052,54,0,3
"chr4",4,101,0,0,0,0,0.9891,0,0,0
"chr5",5,116,0,0,0,0,0.9782,0,0,0
"chr6",6,129,0,66,0,51.2,0.9313,0,63,9
"chr7",7,128,0,7,0,5.5,1.0122,0,6,31
"chr8",8,105,53,0,50.5,0,1.0614,48,0,7
"chr9",9,83,19,0,22.9,0,1.0297,17,0,7
"chr10",10,97,0,28,0,28.9,0.9776,0,27,1
"chr11",11,156,18,6,11.5,3.8,1.0189,13,5,10
"chr12",12,142,48,0,33.8,0,1.0345,45,0,5
"chr13",13,39,0,0,0,0,0.9814,0,0,0
"chr14",14,70,0,11,0,15.7,0.9887,0,8,8
"chr15",15,60,0,0,0,0,0.9978,0,0,0
"chr16",16,91,20,5,22,5.5,1.0135,18,0,10
"chr17",17,132,0,40,0,30.3,0.9801,0,38,2
"chr18",18,34,0,0,0,0,1.0073,0,0,0
"chr19",19,159,29,0,18.2,0,1.0261,18,0,20
"chr20",20,70,54,0,77.1,0,1.0895,49,0,21
"chr21",21,27,0,0,0,0,1.0126,0,0,0
"chr22",22,49,0,49,0,100,0.9161,0,49,0
