"chromosome","chr_num","mean_solid","mean_ascites","difference"
"chr1",1,1.01187,1.021241,0.009372
"chr2",2,1.016016,1.0053,-0.010716
"chr3",3,1.051932,1.052403,0.00047
"chr4",4,0.99066,0.984185,-0.006475
"chr5",5,0.980392,0.971229,-0.009163
"chr6",6,0.938325,0.909347,-0.028978
"chr7",7,1.008683,1.023103,0.01442
"chr8",8,1.063431,1.055096,-0.008335
"chr9",9,1.027811,1.035736,0.007925
"chr10",10,0.977664,0.977218,-0.000446
"chr11",11,1.020447,1.014173,-0.006274
"chr12",12,1.035578,1.031152,-0.004426
"chr13",13,0.976107,0.998013,0.021906
"chr14",14,0.992319,0.977237,-0.015082
"chr15",15,0.997591,0.998485,0.000894
"chr16",16,1.011978,1.018217,0.006239
"chr17",17,0.979994,0.980637,0.000643
"chr18",18,1.006432,1.009951,0.003518
"chr19",19,1.026042,1.026188,0.000146
"chr20",20,1.074833,1.135954,0.061122
"chr21",21,1.016844,0.99921,-0.017634
"chr22",22,0.914802,0.920217,0.005415
